Formula modelo,MAE train,MAE test,Variación validación (MAE)
Y~Y1+Y2+Y4+DIA_SEMANA+QUINCENA,6.578005664578514,6.426444260851252,2.304063137911172
Y~Y1+Y2+Y4+DIA_SEMANA+QUINCENA_DESPUES,6.569099289384159,6.427301789651621,2.1585531514447664
Y~Y1+Y2+Y4+FIN_SEMANA+FESTIVO,6.577991180076281,6.457608536051461,1.83008217447054
Y~Y1+Y2+Y4+FIN_SEMANA+QUINCENA,6.593998323915134,6.463234893713886,1.9830673860955452
Y~Y1+Y2+Y4+FIN_SEMANA+QUINCENA_DESPUES,6.58781865581477,6.466496128593097,1.8416191088470049
Y~Y1+Y2+Y4+FESTIVO+QUINCENA,6.608135707383946,6.453154896934561,2.345303082625999
Y~Y1+Y2+Y4+FESTIVO+QUINCENA_DESPUES,6.604839583240808,6.457382231813236,2.2325652208379374
Y~Y1+Y2+Y4+QUINCENA+QUINCENA_DESPUES,6.613749910558068,6.458455490825306,2.348054006167557
Y~Y1+Y2+Y7+Y14+CLASE_ACCIDENTE,5.942244871562763,5.839290408583509,1.732585331041354
Y~Y1+Y2+Y7+Y14+DIA_SEMANA,5.980180746134529,5.847334766672637,2.2214375300907205
Y~Y1+Y2+Y7+Y14+FIN_SEMANA,5.991621056257469,5.857438009367819,2.239511571739234
Y~Y1+Y2+Y7+Y14+FESTIVO,5.9711000356092985,5.829733664906432,2.3675096692370365
Y~Y1+Y2+Y7+Y14+QUINCENA,5.976865623587787,5.835707971020827,2.3617337490386183
Y~Y1+Y2+Y7+Y14+QUINCENA_DESPUES,5.972365973770029,5.832632134949488,2.339673078211152
Y~Y1+Y2+Y7+CLASE_ACCIDENTE+DIA_SEMANA,6.0683487024159,5.86831388828054,3.2963632108966263
Y~Y1+Y2+Y7+CLASE_ACCIDENTE+FIN_SEMANA,6.05865114465344,5.868171700386998,3.1439249383839023
Y~Y1+Y2+Y7+CLASE_ACCIDENTE+FESTIVO,6.064263234056081,5.860703220685085,3.356714666141633
Y~Y1+Y2+Y7+CLASE_ACCIDENTE+QUINCENA,6.070339824366227,5.867270607003061,3.345269346339571
Y~Y1+Y2+Y7+CLASE_ACCIDENTE+QUINCENA_DESPUES,6.065543384135231,5.86748195247865,3.2653534747541584
Y~Y1+Y2+Y7+DIA_SEMANA+FIN_SEMANA,6.1817492640064255,5.942511879765312,3.870059655024938
Y~Y1+Y2+Y7+DIA_SEMANA+FESTIVO,6.1533240081204665,5.909541047785082,3.961809259737786
Y~Y1+Y2+Y7+DIA_SEMANA+QUINCENA,6.167661556066736,5.922802159561046,3.970052414189896
Y~Y1+Y2+Y7+DIA_SEMANA+QUINCENA_DESPUES,6.161683027960626,5.921599896907768,3.896388859397717
Y~Y1+Y2+Y7+FIN_SEMANA+FESTIVO,6.170651807077018,5.931801653719744,3.870744304245793
Y~Y1+Y2+Y7+FIN_SEMANA+QUINCENA,6.1804308876189165,5.941293780838458,3.8692626958990073
