FECHA_ACCIDENTE,Y,CLASE_ACCIDENTE
2014-10-17,14,Atropello
2014-10-18,28,Atropello
2014-10-19,16,Atropello
2014-10-20,7,Atropello
2014-10-21,15,Atropello
2014-10-22,13,Atropello
2014-10-23,9,Atropello
2014-10-24,13,Atropello
2014-10-25,15,Atropello
2014-10-26,9,Atropello
2014-10-27,8,Atropello
2014-10-28,18,Atropello
2014-10-29,10,Atropello
2014-10-30,8,Atropello
2014-10-31,18,Atropello
2014-11-01,9,Atropello
2014-11-02,10,Atropello
2014-11-03,10,Atropello
2014-11-04,12,Atropello
2014-11-05,10,Atropello
2014-11-06,8,Atropello
2014-11-07,19,Atropello
2014-11-08,4,Atropello
2014-11-09,11,Atropello
2014-11-10,13,Atropello
2014-11-11,6,Atropello
2014-11-12,10,Atropello
2014-11-13,8,Atropello
2014-11-14,9,Atropello
2014-11-15,22,Atropello
2014-11-16,6,Atropello
2014-11-17,11,Atropello
2014-11-18,7,Atropello
2014-11-19,10,Atropello
2014-11-20,12,Atropello
2014-11-21,16,Atropello
2014-11-22,12,Atropello
2014-11-23,18,Atropello
2014-11-24,12,Atropello
2014-11-25,19,Atropello
2014-11-26,13,Atropello
2014-11-27,16,Atropello
2014-11-28,13,Atropello
2014-11-29,13,Atropello
2014-11-30,16,Atropello
2014-12-01,12,Atropello
2014-12-02,18,Atropello
2014-12-03,11,Atropello
2014-12-04,11,Atropello
2014-12-05,10,Atropello
2014-12-06,13,Atropello
2014-12-07,15,Atropello
2014-12-08,12,Atropello
2014-12-09,17,Atropello
2014-12-10,9,Atropello
2014-12-11,7,Atropello
2014-12-12,7,Atropello
2014-12-13,14,Atropello
2014-12-14,16,Atropello
2014-12-15,17,Atropello
2014-12-16,11,Atropello
2014-12-17,15,Atropello
2014-12-18,15,Atropello
2014-12-19,13,Atropello
2014-12-20,12,Atropello
2014-12-21,16,Atropello
2014-12-22,14,Atropello
2014-12-23,9,Atropello
2014-12-24,15,Atropello
2014-12-25,17,Atropello
2014-12-26,18,Atropello
2014-12-27,8,Atropello
2014-12-28,10,Atropello
2014-12-29,9,Atropello
2014-12-30,12,Atropello
2014-12-31,13,Atropello
2015-01-01,26,Atropello
2015-01-02,12,Atropello
2015-01-03,16,Atropello
2015-01-04,14,Atropello
2015-01-05,14,Atropello
2015-01-06,12,Atropello
2015-01-07,9,Atropello
2015-01-08,18,Atropello
2015-01-09,12,Atropello
2015-01-10,4,Atropello
2015-01-11,13,Atropello
2015-01-12,15,Atropello
2015-01-13,15,Atropello
2015-01-14,9,Atropello
2015-01-15,10,Atropello
2015-01-16,16,Atropello
2015-01-17,9,Atropello
2015-01-18,12,Atropello
2015-01-19,9,Atropello
2015-01-20,12,Atropello
2015-01-21,13,Atropello
2015-01-22,12,Atropello
2015-01-23,9,Atropello
2015-01-24,16,Atropello
2015-01-25,20,Atropello
2015-01-26,11,Atropello
2015-01-27,11,Atropello
2015-01-28,7,Atropello
2015-01-29,17,Atropello
2015-01-30,8,Atropello
2015-01-31,15,Atropello
2015-02-01,10,Atropello
2015-02-02,17,Atropello
2015-02-03,16,Atropello
2015-02-04,10,Atropello
2015-02-05,13,Atropello
